n,0.01,0.02,0.05,0.1,0.5,0.9,0.95,0.98,0.99
3,0.753,0.756,0.767,0.789,0.959,0.998,0.999,1.000,1.000
4,0.687,0.707,0.748,0.792,0.935,0.987,0.992,0.996,0.997
5,0.686,0.715,0.762,0.806,0.927,0.979,0.986,0.991,0.993
6,0.713,0.743,0.788,0.826,0.927,0.974,0.981,0.986,0.989
7,0.730,0.760,0.803,0.838,0.928,0.972,0.979,0.985,0.988
8,0.749,0.778,0.818,0.851,0.932,0.972,0.978,0.984,0.987
9,0.764,0.791,0.829,0.859,0.935,0.972,0.978,0.984,0.986
10,0.781,0.806,0.842,0.869,0.938,0.972,0.978,0.983,0.986
11,0.792,0.817,0.850,0.876,0.940,0.973,0.979,0.984,0.986
12,0.805,0.828,0.859,0.883,0.943,0.973,0.979,0.984,0.986
13,0.814,0.837,0.866,0.889,0.945,0.974,0.979,0.984,0.986
14,0.825,0.846,0.874,0.895,0.947,0.975,0.980,0.984,0.986
15,0.835,0.855,0.881,0.901,0.950,0.975,0.980,0.984,0.987
16,0.844,0.863,0.887,0.906,0.952,0.976,0.981,0.985,0.987
17,0.851,0.869,0.892,0.910,0.954,0.977,0.981,0.985,0.987
18,0.858,0.874,0.897,0.914,0.956,0.978,0.982,0.986,0.988
19,0.863,0.879,0.901,0.917,0.957,0.978,0.982,0.986,0.988
20,0.868,0.884,0.905,0.920,0.959,0.979,0.983,0.986,0.988
21,0.873,0.888,0.908,0.923,0.960,0.980,0.983,0.987,0.989
22,0.878,0.892,0.911,0.926,0.961,0.980,0.984,0.987,0.989
23,0.881,0.895,0.914,0.928,0.962,0.981,0.984,0.987,0.989
24,0.884,0.898,0.916,0.930,0.963,0.981,0.984,0.987,0.989
25,0.888,0.901,0.918,0.931,0.964,0.981,0.985,0.988,0.989
26,0.891,0.904,0.920,0.933,0.965,0.982,0.985,0.988,0.989
27,0.894,0.906,0.923,0.935,0.965,0.982,0.985,0.988,0.990
28,0.896,0.908,0.924,0.936,0.966,0.982,0.985,0.988,0.990
29,0.898,0.910,0.926,0.937,0.966,0.982,0.985,0.988,0.990
30,0.900,0.912,0.927,0.939,0.967,0.983,0.985,0.988,0.990
31,0.902,0.914,0.929,0.940,0.967,0.983,0.986,0.988,0.990
32,0.904,0.915,0.930,0.941,0.968,0.983,0.986,0.988,0.990
33,0.906,0.917,0.931,0.942,0.968,0.983,0.986,0.989,0.990
34,0.908,0.919,0.933,0.943,0.969,0.983,0.986,0.989,0.990
35,0.910,0.920,0.934,0.944,0.969,0.984,0.986,0.989,0.990
36,0.912,0.922,0.935,0.945,0.970,0.984,0.986,0.989,0.990
37,0.914,0.924,0.936,0.946,0.970,0.984,0.987,0.989,0.990
38,0.916,0.925,0.938,0.947,0.971,0.984,0.987,0.989,0.990
39,0.917,0.927,0.939,0.948,0.971,0.984,0.987,0.989,0.991
40,0.919,0.928,0.940,0.949,0.972,0.985,0.987,0.989,0.991
41,0.920,0.929,0.941,0.950,0.972,0.985,0.987,0.989,0.991
42,0.922,0.930,0.942,0.951,0.972,0.985,0.987,0.989,0.991
43,0.923,0.932,0.943,0.951,0.973,0.985,0.987,0.990,0.991
44,0.924,0.933,0.944,0.952,0.973,0.985,0.987,0.990,0.991
45,0.926,0.934,0.945,0.953,0.973,0.985,0.988,0.990,0.991
46,0.927,0.935,0.945,0.953,0.974,0.985,0.988,0.990,0.991
47,0.928,0.936,0.946,0.954,0.974,0.985,0.988,0.990,0.991
48,0.929,0.937,0.947,0.954,0.974,0.985,0.988,0.990,0.991
49,0.929,0.939,0.947,0.955,0.974,0.985,0.988,0.990,0.991
50,0.930,0.938,0.947,0.955,0.974,0.985,0.988,0.990,0.991
